id;make;model;tags
001001;Alfa Romeo;4C;4c
001002;Alfa Romeo;Giulia;giulia
001003;Alfa Romeo;Stelvio;stelvio
002001;Alpina;B3;b3
002002;Alpina;B4;b4
002003;Alpina;B5;b5
002004;Alpina;D3;d3
002005;Alpina;D4;d4
002006;Alpina;D5;d5
002007;Alpina;XB7;xb7
002008;Alpina;XD3;xd3
002009;Alpina;XD4;xd4
003001;Alpine;A110;a110
004001;Aston Martin;DB11;db11
004002;Aston Martin;DB12;db12
004003;Aston Martin;DB9;db9
004004;Aston Martin;DBS;dbs
004005;Aston Martin;DBX;dbx
004006;Aston Martin;DBX 707;dbx 707
004007;Aston Martin;V12 Vantage;v12 vantage
004008;Aston Martin;V8 Vantage;v8 vantage
004009;Aston Martin;Vanquish;vanquish
004010;Aston Martin;Vantage;vantage
005001;Audi;A4;a4
005002;Audi;A5;a5
005003;Audi;A5 Cabriolet;a5 cabriolet
005004;Audi;A5 Sportback;a5 sportback
005005;Audi;A6;a6
005006;Audi;A6 Allroad;a6 allroad
005007;Audi;A6 e-tron;a6 e-tron
005008;Audi;A7;a7
005009;Audi;A7 Sportback;a7 sportback
005010;Audi;A8;a8
005011;Audi;A8L;a8l
005012;Audi;e-tron;e-tron
005013;Audi;e-tron GT quattro;e-tron gt quattro
005014;Audi;e-tron Sportback;e-tron sportback
005015;Audi;Q2;q2
005016;Audi;Q3;q3
005017;Audi;Q3 Sportback;q3 sportback
005018;Audi;Q4 e-tron;q4 e-tron
005019;Audi;Q4 Sportback e-tron;q4 sportback e-tron
005020;Audi;Q5;q5
005021;Audi;Q5 Sportback;q5 sportback
005022;Audi;Q6 e-tron;q6 e-tron
005023;Audi;Q7;q7
005024;Audi;Q8;q8
005025;Audi;Q8 e-tron;q8 e-tron
005026;Audi;Q8 Sportback e-tron;q8 sportback e-tron
005027;Audi;R8 Coupé;r8 coupé
005028;Audi;R8 Spyder;r8 spyder
005029;Audi;RS e-tron GT;rs e-tron gt
005030;Audi;RS Q3;rs q3
005031;Audi;RS Q3 Sportback;rs q3 sportback
005032;Audi;RS Q8;rs q8
005033;Audi;RS3;rs3
005034;Audi;RS3 Sportback;rs3 sportback
005035;Audi;RS4;rs4
005036;Audi;RS5;rs5
005037;Audi;RS5 Sportback;rs5 sportback
005038;Audi;RS6;rs6
005039;Audi;RS7;rs7
005040;Audi;RS7 Sportback;rs7 sportback
005041;Audi;S3;s3
005042;Audi;S4;s4
005043;Audi;S5;s5
005044;Audi;S5 Cabriolet;s5 cabriolet
005045;Audi;S5 Sportback;s5 sportback
005046;Audi;S6;s6
005047;Audi;S7;s7
005048;Audi;S7 Sportback;s7 sportback
005049;Audi;S8;s8
005050;Audi;SQ2;sq2
005051;Audi;SQ5;sq5
005052;Audi;SQ5 Sportback;sq5 sportback
005053;Audi;SQ6 e-tron;sq6 e-tron
005054;Audi;SQ7;sq7
005055;Audi;SQ8;sq8
005056;Audi;SQ8 e-tron;sq8 e-tron
005057;Audi;SQ8 Sportback e-tron;sq8 sportback e-tron
005058;Audi;TT Roadster;tt roadster
005059;Audi;TT RS;tt rs
005060;Audi;TTS;tts
006001;Bentley;Bentayga;bentayga
006002;Bentley;Continental;continental
006003;Bentley;Continental GT;continental gt
006004;Bentley;Continental GT Convertible;continental gt convertible
006005;Bentley;Flying Spur;flying spur
006006;Bentley;Mulsanne;mulsanne
007001;BMW;120;120
007002;BMW;120 Coupé;120 coupé
007003;BMW;123;123
007004;BMW;135;135
007005;BMW;218;218
007006;BMW;218 Active Tourer;218 active tourer
007007;BMW;223 Active Tourer;223 active tourer
007008;BMW;225 Active Tourer;225 active tourer
007009;BMW;230;230
007010;BMW;230e Active Tourer;230e active tourer
007011;BMW;318;318
007012;BMW;320;320
007013;BMW;330;330
007014;BMW;330e;330e
007015;BMW;340;340
007016;BMW;420;420
007017;BMW;420 Gran Coupé;420 gran coupé
007018;BMW;430;430
007019;BMW;430 Cabriolet;430 cabriolet
007020;BMW;430 Gran Coupé;430 gran coupé
007021;BMW;440;440
007022;BMW;520;520
007023;BMW;530;530
007024;BMW;530e;530e
007025;BMW;540;540
007026;BMW;545e;545e
007027;BMW;550;550
007028;BMW;550e;550e
007029;BMW;730;730
007030;BMW;740;740
007031;BMW;740L;740l
007032;BMW;745;745
007033;BMW;745e;745e
007034;BMW;750;750
007035;BMW;750e;750e
007036;BMW;750L;750l
007037;BMW;760;760
007038;BMW;840;840
007039;BMW;i4;i4
007040;BMW;i5;i5
007041;BMW;i7;i7
007042;BMW;i8;i8
007043;BMW;iX;ix
007044;BMW;iX1;ix1
007045;BMW;iX2;ix2
007046;BMW;iX3;ix3
007047;BMW;M135;m135
007048;BMW;M2;m2
007049;BMW;M235;m235
007050;BMW;M240;m240
007051;BMW;M3;m3
007052;BMW;M340;m340
007053;BMW;M4;m4
007054;BMW;M4 Cabriolet;m4 cabriolet
007055;BMW;M440;m440
007056;BMW;M5;m5
007057;BMW;M550;m550
007058;BMW;M6;m6
007059;BMW;M6 Cabriolet;m6 cabriolet
007060;BMW;M760;m760
007061;BMW;M760e;m760e
007062;BMW;M8;m8
007063;BMW;M850;m850
007064;BMW;X1;x1
007065;BMW;X2;x2
007066;BMW;X3;x3
007067;BMW;X4;x4
007068;BMW;X5;x5
007069;BMW;X5 M;x5 m
007070;BMW;X5 M50;x5 m50
007071;BMW;X6;x6
007072;BMW;X6 M;x6 m
007073;BMW;X6 M50;x6 m50
007074;BMW;X7;x7
007075;BMW;XM;xm
007076;BMW;Z4;z4
008001;Cadillac;Escalade;escalade
009001;Chevrolet;Camaro SS;camaro ss
009002;Chevrolet;Corvette;corvette
009003;Chevrolet;Silverado;silverado
009004;Chevrolet;Tahoe;tahoe
010001;Chrysler;Pacifica;pacifica
011001;Corvette;C7;c7
011002;Corvette;C8;c8
011003;Corvette;Grand Sport;grand sport
011004;Corvette;Stingray;stingray
011005;Corvette;Z06;z06
012001;Cupra;Ateca;ateca
012002;Cupra;Formentor;formentor
012003;Cupra;Leon;leon
012004;Cupra;Tavascan;tavascan
012005;Cupra;Terramar;terramar
013001;Dodge;Challenger;challenger
013002;Dodge;Charger;charger
013003;Dodge;Durango;durango
013004;Dodge;Ram;ram
014001;DS Automobiles;DS7 Crossback;ds7 crossback
015001;Ferrari;296;296
015002;Ferrari;458;458
015003;Ferrari;488;488
015004;Ferrari;812;812
015005;Ferrari;California;california
015006;Ferrari;F12;f12
015007;Ferrari;F8;f8
015008;Ferrari;FF;ff
015009;Ferrari;GTC4Lusso;gtc4lusso
015010;Ferrari;Portofino;portofino
015011;Ferrari;Purosangue;purosangue
015012;Ferrari;Roma;roma
015013;Ferrari;SF90;sf90
016001;Ford;Bronco;bronco
016002;Ford;Capri;capri
016003;Ford;E-Transit;e-transit
016004;Ford;Econoline;econoline
016005;Ford;Edge;edge
016006;Ford;Explorer;explorer
016007;Ford;F-150;f-150
016008;Ford;Mustang;mustang
016009;Ford;Mustang GT;mustang gt
016010;Ford;Mustang Mach-E;mustang mach-e
016011;Ford;Mustang Mach-E GT;mustang mach-e gt
016012;Ford;Ranger;ranger
016013;Ford;Tourneo;tourneo
016014;Ford;Tourneo Custom;tourneo custom
016015;Ford;Transit;transit
016016;Ford;Transit Custom;transit custom
017001;Genesis;G80;g80
018001;GMC;Sierra;sierra
019001;Honda;Civic;civic
019002;Honda;CR-V;cr-v
020001;Hyundai;Ioniq 5;ioniq 5
020002;Hyundai;Kona;kona
020003;Hyundai;Santa Fe;santa fe
020004;Hyundai;Staria;staria
020005;Hyundai;Tucson;tucson
021001;Ineos;Grenadier;grenadier
022001;Iveco;Daily;daily
023001;Jaguar;E-Pace;e-pace
023002;Jaguar;F-Pace;f-pace
023003;Jaguar;F-Type;f-type
023004;Jaguar;I-Pace;i-pace
023005;Jaguar;XE;xe
024001;Jeep;Gladiator;gladiator
024002;Jeep;Grand Cherokee;grand cherokee
024003;Jeep;Wrangler;wrangler
024004;Jeep;Wrangler Unlimited;wrangler unlimited
025001;Kia;e-Niro;e-niro
025002;Kia;EV6;ev6
025003;Kia;EV9;ev9
025004;Kia;ProCeed;proceed
025005;Kia;Sorento;sorento
025006;Kia;Sportage;sportage
025007;Kia;Stinger;stinger
026001;Lamborghini;Aventador;aventador
026002;Lamborghini;Huracán;huracán
026003;Lamborghini;Revuelto;revuelto
026004;Lamborghini;Urus;urus
027001;Land Rover;Defender;defender
027002;Land Rover;Discovery 5;discovery 5
027003;Land Rover;Discovery Sport;discovery sport
027004;Land Rover;Range Rover;range rover
