slink,timestamp,sale_type,min_price,max_price,total_number
uafcbz,1698850714,634,1499,1056148,SOLD
uafcc1,1698850714,1206,1100,5000,INSALE
uafcc2,1698850714,2531,5040,10000,INSALE
uafcc8,1698850714,1738,10001,15000,INSALE
uafccb,1698850714,1249,15060,20000,INSALE
uafcce,1698850714,1305,20100,30000,INSALE
uafccj,1698850714,2374,30200,1384728,INSALE
uaqaid,1698919530,633,1499,1056148,SOLD
uaqaik,1698919530,1189,1100,5000,INSALE
uaqaip,1698919530,2551,5050,10000,INSALE
uaqaiu,1698919530,1823,10001,15000,INSALE
uaqaiw,1698919530,1255,15060,20000,INSALE
uaqaj1,1698919530,1302,20100,30000,INSALE
uaqaj9,1698919530,2356,30200,856419,INSALE
uaqc8y,1698919784,633,1499,1056148,SOLD
uaqc8z,1698919784,1189,1100,5000,INSALE
uaqc94,1698919784,2547,5050,10000,INSALE
uaqc97,1698919784,1824,10001,15000,INSALE
uaqc99,1698919784,1253,15060,20000,INSALE
uaqc9d,1698919784,1304,20100,30000,INSALE
uaqc9g,1698919784,2357,30200,856419,INSALE
uaqchq,1698919820,633,1499,1056148,SOLD
uaqcht,1698919820,1189,1100,5000,INSALE
uaqci1,1698919820,2546,5050,10000,INSALE
uaqcia,1698919820,1824,10001,15000,INSALE
uaqcig,1698919820,1255,15060,20000,INSALE
uaqcil,1698919820,1304,20100,30000,INSALE
uaqciq,1698919820,2358,30200,856419,INSALE
uaqek9,1698920104,634,1499,1056148,SOLD
uaqekg,1698920104,1185,1100,5000,INSALE
uaqekj,1698920104,2547,5050,10000,INSALE
uaqekp,1698920104,1824,10001,15000,INSALE
uaqekt,1698920104,1255,15060,20000,INSALE
uaqel2,1698920104,1302,20100,30000,INSALE
uaqel8,1698920104,2361,30200,856419,INSALE
uaqg05,1698920297,634,1499,1056148,SOLD
uaqg0i,1698920297,1183,1100,5000,INSALE
uaqg0o,1698920297,2547,5050,10000,INSALE
uaqg0u,1698920297,1822,10001,15000,INSALE
uaqg10,1698920297,1253,15060,20000,INSALE
uaqg18,1698920297,1301,20100,30000,INSALE
uaqg1e,1698920297,2361,30200,856419,INSALE
uaqhkj,1698920500,634,1499,1056148,SOLD
uaqhkq,1698920500,1183,1100,5000,INSALE
uaqhkv,1698920500,2553,5050,10000,INSALE
uaqhkx,1698920500,1821,10001,15000,INSALE
uaqhl1,1698920500,1253,15060,20000,INSALE
uaqhl5,1698920500,1302,20100,30000,INSALE
uaqhl8,1698920500,2360,30200,856419,INSALE
uaqi3f,1698920563,634,1499,1056148,SOLD
uaqi3g,1698920563,1182,1100,5000,INSALE
uaqi3j,1698920563,2551,5050,10000,INSALE
uaqi3l,1698920563,1822,10001,15000,INSALE
uaqi3q,1698920563,1252,15060,20000,INSALE
uaqi3w,1698920563,1301,20100,30000,INSALE
uaqi40,1698920563,2363,30200,856419,INSALE
uaqimq,1698920648,635,1499,1056148,SOLD
uaqims,1698920648,1185,1100,5000,INSALE
uaqimv,1698920648,2555,5050,10000,INSALE
uaqimz,1698920648,1824,10001,15000,INSALE
uaqin2,1698920648,1251,15060,20000,INSALE
uaqin7,1698920648,1300,20100,30000,INSALE
uaqina,1698920648,2363,30200,856419,INSALE
uaqmpn,1698921172,634,1499,1056148,SOLD
uaqmps,1698921172,1187,1100,5000,INSALE
uaqmpx,1698921172,2557,5050,10000,INSALE
uaqmpy,1698921172,1827,10001,15000,INSALE
uaqmq0,1698921172,1254,15060,20000,INSALE
uaqmq3,1698921172,1303,20100,30000,INSALE
uaqmq9,1698921172,2364,30200,856419,INSALE
uaqmy3,1698921201,634,1499,1056148,SOLD
uaqmy7,1698921201,1187,1100,5000,INSALE
uaqmyb,1698921201,2558,5050,10000,INSALE
uaqmyg,1698921201,1830,10001,15000,INSALE
uaqmyk,1698921201,1254,15060,20000,INSALE
uaqmyo,1698921201,1304,20100,30000,INSALE
uaqmyr,1698921201,2364,30200,856419,INSALE
uaqn70,1698921239,634,1499,1056148,SOLD
uaqn77,1698921239,1187,1100,5000,INSALE
uaqn7c,1698921239,2560,5050,10000,INSALE
uaqn7g,1698921239,1830,10001,15000,INSALE
uaqn7m,1698921239,1254,15060,20000,INSALE
uaqn7p,1698921239,1304,20100,30000,INSALE
uaqn7s,1698921239,2363,30200,856419,INSALE
uaqrgk,1698921808,632,1499,1056148,SOLD
uaqrgo,1698921808,1192,1100,5000,INSALE
uaqrgq,1698921808,2559,5050,10000,INSALE
uaqrgt,1698921808,1824,10001,15000,INSALE
uaqrgz,1698921808,1256,15100,20000,INSALE
uaqrh1,1698921808,1306,20100,30000,INSALE
uaqrh7,1698921808,2367,30200,856419,INSALE
uaqrzw,1698921880,632,1499,1056148,SOLD
uaqrzz,1698921880,1191,1100,5000,INSALE
uaqs05,1698921880,2558,5050,10000,INSALE
uaqs08,1698921880,1825,10001,15000,INSALE
uaqs0i,1698921880,1254,15100,20000,INSALE
uaqs0n,1698921880,1306,20100,30000,INSALE
uaqs0t,1698921880,2370,30200,856419,INSALE
uaqu1p,1698922131,633,1499,1056148,SOLD
uaqu1u,1698922131,1196,1100,5000,INSALE
uaqu22,1698922131,2567,5050,10000,INSALE
uaqu27,1698922131,1827,10001,15000,INSALE
uaqu2a,1698922131,1260,15100,20000,INSALE
uaqu2i,1698922131,1307,20100,30000,INSALE
uaqu2m,1698922131,2368,30200,856419,INSALE
uaqu8p,1698922154,632,1499,1056148,SOLD
uaqu8t,1698922154,1196,1100,5000,INSALE
uaqu92,1698922154,2569,5050,10000,INSALE
uaqu9a,1698922154,1828,10001,15000,INSALE
uaqu9g,1698922154,1260,15100,20000,INSALE
uaqu9j,1698922154,1307,20100,30000,INSALE
uaqu9m,1698922154,2368,30200,856419,INSALE
uaruvm,1698926831,632,1499,1056148,SOLD
uaruw0,1698926831,1197,1100,5000,INSALE
uaruw3,1698926831,2567,5050,10000,INSALE
uaruw8,1698926831,1826,10001,15000,INSALE
uaruwa,1698926831,1282,15100,20000,INSALE
uaruwe,1698926831,1323,20100,30000,INSALE
uaruwi,1698926831,2421,30200,905940,INSALE
uarzz1,1698927558,633,1499,1056148,SOLD
uarzz3,1698927558,1198,1100,5000,INSALE
uarzz6,1698927558,2572,5050,10000,INSALE
uarzz8,1698927558,1831,10001,15000,INSALE
uarzzb,1698927558,1285,15100,20000,INSALE
uarzzd,1698927558,1329,20100,30000,INSALE
uarzze,1698927558,2427,30200,905940,INSALE
