timestamp,meta_type,make,model,total_number,min_price,max_price,created_on,dealer
1682609634,ALL,ALL,ALL,40554,11,4194600,2023-04-27,DEALER
1682609634,IN SALE,ALL,ALL,5627,350,1051200,2023-04-27,DEALER
1682609634,SOLD,ALL,ALL,501,2200,1056132,2023-04-27,DEALER
1682609635,ALL,ALL,ALL,42445,11,1111111,2023-04-27,PRIVATE
1682609635,IN SALE,ALL,ALL,4336,11,505000,2023-04-27,PRIVATE
1682609635,SOLD,ALL,ALL,8,2999,91999,2023-04-27,PRIVATE
1682609648,ALL,ALL,ALL,40554,11,4194600,2023-04-27,DEALER
1682609648,IN SALE,ALL,ALL,5627,350,1051200,2023-04-27,DEALER
1682609648,SOLD,ALL,ALL,501,2200,1056132,2023-04-27,DEALER
1682609649,ALL,ALL,ALL,42445,11,1111111,2023-04-27,PRIVATE
1682609649,IN SALE,ALL,ALL,4336,11,505000,2023-04-27,PRIVATE
1682609649,SOLD,ALL,ALL,8,2999,91999,2023-04-27,PRIVATE
1682680664,ALL,ALL,ALL,40604,11,4194600,2023-04-28,DEALER
1682680664,SOLD,ALL,ALL,503,2200,1056132,2023-04-28,DEALER
1682680664,IN SALE,ALL,ALL,5560,11,800000,2023-04-28,DEALER
1682680665,ALL,ALL,ALL,40604,11,4194600,2023-04-28,PRIVATE
1682680665,SOLD,ALL,ALL,503,2200,1056132,2023-04-28,PRIVATE
1682680665,IN SALE,ALL,ALL,5560,11,800000,2023-04-28,PRIVATE
