id,make,model,currency,price,millage,year,promoted,sold,created_on
11679576401205246,Audi,A6,BGN,34888,200000,2012,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679576401205246&slink=s3gfw0,2023-04-19
11679576401205246,Audi,A6,BGN,34888,200000,2012,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679576401205246&slink=s3gfw0,2023-04-19
11676489469854491,Audi,A7,BGN,44900,241900,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11676489469854491&slink=s3gfw0,2023-04-19
11556005874382921,BMW,525,BGN,14999,183000,2007,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11556005874382921&slink=s3gfw0,2023-04-19
11678814430254649,Fiat,Bravo,BGN,8200,197600,2009,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11678814430254649&slink=s3gfw0,2023-04-19
21681366625360596,Honda,Cr-v,BGN,5900,291761,1999,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681366625360596&slink=s3gfw0,2023-04-19
21679946580989701,Porsche,Cayenne,BGN,94999,141349,2017,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679946580989701&slink=s3gfw0,2023-04-19
11677315190738485,Toyota,Corolla,BGN,42980,29858,2019,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677315190738485&slink=s3gfw0,2023-04-19
21679135306957423,VW,Touareg,BGN,115000,77927,2019,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679135306957423&slink=s3gfw0,2023-04-19
11680890163572971,Audi,A3,BGN,4600,246000,2003,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680890163572971&slink=s3gfw0,2023-04-19
11680587775700621,BMW,5,BGN,27700,227000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680587775700621&slink=s3gfw0,2023-04-19
21681572008984357,BMW,X5,BGN,55000,98000,2016,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681572008984357&slink=s3gfw0,2023-04-19
21675263999203773,Fiat,Freemont,BGN,21999,137000,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21675263999203773&slink=s3gfw0,2023-04-19
11642425486207937,Fiat,Scudo,BGN,7900,0,0,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11642425486207937&slink=s3gfw0,2023-04-19
11627024573978004,Ford,Focus,BGN,8890,148000,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11627024573978004&slink=s3gfw0,2023-04-19
21679992134019122,Hyundai,Tucson,BGN,0,34000,2022,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679992134019122&slink=s3gfw0,2023-04-19
21680171993796224,Kia,Sorento,BGN,0,220000,2005,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680171993796224&slink=s3gfw0,2023-04-19
21678097766324053,Lexus,NX,BGN,53990,176000,2018,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21678097766324053&slink=s3gfw0,2023-04-19
11680517129682317,Mercedes-Benz,B,BGN,0,159000,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680517129682317&slink=s3gfw0,2023-04-19
11671381169265973,Mercedes-Benz,C,BGN,8000,277000,2005,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11671381169265973&slink=s3gfw0,2023-04-19
11675875354996294,Mercedes-Benz,C,BGN,26600,191687,2012,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11675875354996294&slink=s3gfw0,2023-04-19
11681494154406536,Mercedes-Benz,C,BGN,52000,118041,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681494154406536&slink=s3gfw0,2023-04-19
21660542466241292,Opel,Astra,BGN,15900,151000,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21660542466241292&slink=s3gfw0,2023-04-19
11681747055784575,Opel,Insignia,BGN,20900,110000,2016,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681747055784575&slink=s3gfw0,2023-04-19
11679155264593866,Peugeot,3008,BGN,17500,189000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679155264593866&slink=s3gfw0,2023-04-19
11677242477257193,Peugeot,508,BGN,41490,162300,2019,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677242477257193&slink=s3gfw0,2023-04-19
11675784510935309,Seat,Leon,BGN,23990,148000,2019,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11675784510935309&slink=s3gfw0,2023-04-19
11680080261400999,Tesla,Model,EUR,75000,79000,2019,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680080261400999&slink=s3gfw0,2023-04-19
21681134758690568,Toyota,Rav4,BGN,0,231032,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681134758690568&slink=s3gfw0,2023-04-19
21681134758690568,Toyota,Rav4,BGN,0,231032,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681134758690568&slink=s3gfw0,2023-04-19
11677863444735054,Volvo,V50,BGN,8400,152000,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677863444735054&slink=s3gfw0,2023-04-19
