id,source,make,model,title,year,mileage,engine,gearbox,power_ps,power_kw,currency,price,estimated_price,cc,url,location,equipment,seller_name,seller_url,range,consumption_fuel,consumption_kw,co2,days_in_sale,ranges,rating
5258772,autouncle.ro,Mercedes,G500,Mercedes G500 V8 Biturbo 2018 Full pret-euro +TVA,2018,55000,Petrol,Automatic,422,310,EUR,99900,108676.0,4000.0,,,"Cruise control, Climate control, Sunroof, Lane warning, Auto dimming mirror, Rain sensor, One owner",Carzz,,,,,0.0,56.0,,
5284250,autouncle.ro,Mercedes,V300,Mercedes V300 d lang AMG+V EXCLUSIVE ED.+PANO+COMAND,2019,65000,Diesel,Automatic,239,175,EUR,51990,60058.0,2000.0,,,"Glass roof, Climate control, GPS, Driver alert, Sport package, Distance control",Auto-schunn.ro,,,,,0.0,24.0,,
5270544,autouncle.ro,Mercedes,GLE350,Mercedes GLE350 d 4M AMG LINE+NIGHT+PANO+MEMORY+HEAD-UP,2019,70800,Diesel,Automatic,272,200,EUR,53490,59882.0,2900.0,,,"Particle filter, Glass roof, Stop&Go, Lane warning, Isofix, GPS, Headup display, Distance control",Auto-schunn.ro,,,,,0.0,41.0,,
5149943,autouncle.ro,Porsche,Cayenne,Porsche Cayenne Sport Paket LED Navi Leder DAB,2019,83900,Petrol,Automatic,340,250,EUR,59163,64219.0,3000.0,,,,Leasingsh.ro,,,,,0.0,157.0,,
5180758,autouncle.ro,Mercedes,G500,Mercedes G500 AMG LINE+COMAND+3D BURMESTER+PARK+360,2019,56000,Petrol,Automatic,421,309,EUR,92990,99981.0,4000.0,,,"Parking sensor, Sunroof, Isofix, GPS, Driver alert",Auto-schunn.ro,,,,,0.0,130.0,,
5253146,autouncle.ro,Audi,Q8,Audi Q8 50 TDI quattro,2020,41131,Diesel,Automatic,286,210,EUR,63000,67421.0,3000.0,,,4-wheel drive,Audi,,,6.9,,226.0,62.0,,
5047055,autouncle.ro,BMW,750L,BMW 750L I XDRIVE,2020,56460,Petrol,Automatic,530,389,EUR,50580,57027.0,4400.0,,,"4-wheel drive, Glass roof, Aircon, Parking sensor, Sunroof, GPS, Headup display",Bavariaused.com,,,,,241.0,243.0,,
5201788,autouncle.ro,BMW,X7,BMW X7 M50I,2020,113293,Petrol,Automatic,530,389,EUR,50680,55420.0,4400.0,,,"4-wheel drive, Glass roof, Aircon, Parking sensor, Sunroof, GPS, Headup display, Sport package",Bavariaused.com,,,,,286.0,117.0,,
5146229,autouncle.ro,BMW,745e,BMW 745e XDRIVE,2020,61100,Hybrid,Automatic,394,289,EUR,53480,59707.0,3000.0,,,"4-wheel drive, Glass roof, Aircon, Parking sensor, Sunroof, GPS, Headup display, Sport package",Bavariaused.com,,,,,206.0,160.0,,
5176143,autouncle.ro,BMW,M4,BMW M4 Coupé Competition|HarmanKardon|HeadUp,2020,38180,Petrol,Automatic,450,330,EUR,63654,70272.0,3000.0,,,,Leasingsh.ro,,,,,0.0,135.0,,
5147175,autouncle.ro,Volvo,XC90,Volvo XC90 T8 Recharge Inscription AWD LED ACC PANO,2020,50852,Petrol,Automatic,392,288,EUR,52054,56614.0,2000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,159.0,,
5053011,autouncle.ro,Porsche,Cayenne,Porsche Cayenne Coupe GTS Tiptronic S,2020,63993,Petrol,Automatic,460,338,EUR,83000,91628.0,4000.0,,,"4-wheel drive, Glass roof, Climate control, Parking sensor, Stop&Go, Lane warning, Isofix, GPS, ESP, Electric seat, Sport seats",Leasingsh.ro,,,,,0.0,223.0,,
5183026,autouncle.ro,Audi,SQ8,Audi SQ8 4.0 TDI quattro 23´/ MATRIX/AHK/ACC/SPUR/MSG,2020,57671,Diesel,Automatic,435,319,EUR,76749,82652.0,4000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,126.0,,
5205548,autouncle.ro,BMW,X5,BMW X5 xDrive45e,2021,99200,Hybrid,Automatic,394,289,EUR,53645,58140.0,3000.0,,,"4-wheel drive, Glass roof, Parking sensor, Sunroof, Headup display, Sport package, Sport seats",Bmw,,,10.4,,237.0,115.0,,
5049028,autouncle.ro,BMW,X6,BMW X6 xDrive30d,2021,77100,Diesel,Automatic,286,210,EUR,64236,70756.0,3000.0,,,"4-wheel drive, Cruise control, Parking sensor, Stop&Go, GPS, Sport package",Bmw,,,7.0,,183.0,136.0,,
4946012,autouncle.ro,BMW,X6,BMW X6 xDrive40i,2021,95900,Petrol,Automatic,340,250,EUR,62900,67335.0,3000.0,,,"4-wheel drive, Full leather, Cruise control, Glass roof, Climate control, Parking sensor, Sunroof, Stop&Go, Lane warning, Isofix, GPS, ESP, Headup display, Sport package, Electric seat, Sport seats",Bmw,,,9.6,,216.0,326.0,,
5261650,autouncle.ro,BMW,X5,BMW X5 xDrive45e,2021,57800,Hybrid,Automatic,394,289,EUR,55906,60340.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, Sport package, Sport seats",Bmw,,,10.4,,237.0,53.0,,
5260749,autouncle.ro,BMW,X6,BMW X6 SeriaxDrive 30d M Sport,2021,66500,Diesel,Automatic,286,210,EUR,65500,72451.0,3000.0,,,"4-wheel drive, Sport package",Audi,,,6.2,,162.0,54.0,,
4928996,autouncle.ro,Audi,Q7,Audi Q7 45 TDI quattro,2021,50227,Diesel,Automatic,231,169,EUR,51000,58809.0,3000.0,,,"4-wheel drive, Full leather, Cruise control, Climate control, Parking sensor, Stop&Go, Lane warning, Isofix, GPS, ESP, Electric seat",Dasweltauto.ro,,,,,209.0,343.0,,
5292511,autouncle.ro,BMW,X5,BMW X5 XDRIVE 40D,2021,85600,Hybrid,Automatic,340,250,EUR,51980,58863.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,189.0,13.0,,
5283068,autouncle.ro,BMW,X5,BMW X5 XDRIVE30D,2021,83590,Hybrid,Automatic,286,210,EUR,51980,58969.0,3000.0,,,"4-wheel drive, Parking sensor, GPS, Headup display, Sport package, Sport seats",Bavariaused.com,,,,,186.0,25.0,,
5273316,autouncle.ro,BMW,X5,BMW X5 xDrive45e,2021,55900,Hybrid,Automatic,394,289,EUR,53526,60441.0,3000.0,,,"4-wheel drive, Parking sensor, Sport seats",Bmw,,,10.3,,235.0,38.0,,
5254785,autouncle.ro,BMW,X5,BMW X5 XDRIVE45E,2021,61400,Hybrid,Automatic,394,289,EUR,55980,60148.0,3000.0,,,"4-wheel drive, Cruise control, Parking sensor, Trailer coupling, Sunroof, Stop&Go, GPS, Headup display",Bavariaused.com,,,,,229.0,61.0,,
5203899,autouncle.ro,Audi,Q8,Audi Q8 50 TDI quattro tiptronic S LINE+NAVI+LED+PANO,2021,35597,Diesel,Automatic,286,210,EUR,69094,74180.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,116.0,,
5183185,autouncle.ro,Mercedes,GLC300,Mercedes GLC300 4M AMG Leder+AirBody+Burmester+360°+HuD+,2021,31500,Petrol,Automatic,258,189,EUR,52144,56318.0,2000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5183166,autouncle.ro,Audi,A8,Audi A8 60TFSI e QU MATRIX+NAV+HuD+DVD+VC+B&O+RFK+AIR,2021,68095,Petrol,Automatic,449,330,EUR,59714,64157.0,3000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5183117,autouncle.ro,Porsche,Macan,Porsche Macan ,2021,38050,Petrol,Automatic,245,180,EUR,57500,63449.0,2000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5183019,autouncle.ro,Mercedes,GLE350,Mercedes GLE350 de 4MATIC*WIDESC*PANO*360*DISTRO+*,2021,68500,Hybrid,Automatic,194,142,EUR,62154,67724.0,2000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5083545,autouncle.ro,BMW,M340,BMW M340 i xDrive Limousine LC Prof. Navi ACC HiFi Pa,2021,34235,Petrol,Automatic,374,275,EUR,51059,55318.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,204.0,,
4935946,autouncle.ro,Mercedes,GLE53 AMG,Mercedes GLE53 AMG GLE 53 AMG Coupe 4Matic+ AMG Speedshift TCT 9G AMG Line Premium,2021,40311,Petrol,Automatic,435,319,EUR,87941,93960.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,334.0,,
5204154,autouncle.ro,Mercedes,S400,Mercedes S400 Clasad Long,2021,42000,Diesel,Automatic,340,250,EUR,71900,77584.0,2900.0,,,,Leasingsh.ro,,,,,0.0,116.0,,
5195338,autouncle.ro,Mercedes,GLE53 AMG,Mercedes GLE53 AMG 4MATIC,2021,48000,Petrol,Automatic,435,319,EUR,79990,85967.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,122.0,,
5183156,autouncle.ro,Porsche,Cayenne,Porsche Cayenne E-Hybrid Luftfederung BOSE LED 21-Zoll,2021,98138,Hybrid,Automatic,462,339,EUR,73064,81214.0,3000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5182982,autouncle.ro,Porsche,Cayenne,Porsche Cayenne E-Hybrid*Navi*LED*Sport-Chrono*Luftfed.*,2021,39500,Hybrid,Automatic,462,339,EUR,74092,83392.0,3000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5205840,autouncle.ro,Audi,RS Q8,Audi RS Q8 4.0 TFSI QUT *KERAMIK*B&O*PANO*HUD*MATRIX*,2021,25688,Petrol,Automatic,600,441,EUR,115488,122021.0,4000.0,,,,Leasingsh.ro,,,,,0.0,115.0,,
5261399,autouncle.ro,Audi,Q8,Audi Q8 55 TFSI quattro,2022,74559,Petrol,Automatic,340,250,EUR,65000,70228.0,3000.0,,,"4-wheel drive, Parking sensor, Stop&Go, GPS, Xenon headlights, Electric seat",Car Cloud,,,10.9,,248.0,53.0,,
5287691,autouncle.ro,Audi,Q7,Audi Q7 55 TFSI quattro S line,2022,55345,Petrol,Automatic,340,250,EUR,50900,58468.0,3000.0,,,4-wheel drive,Dasweltauto.ro,,,,,0.0,20.0,,
4808221,autouncle.ro,Mercedes,EQE350,Mercedes EQE350 EQE 350 + AMG PREMIUM+ AIRMATIC NIGHT AIR-BALANCE,2022,10800,Electric,Automatic,292,214,EUR,54990,63440.0,0.0,,,"Glass roof, Climate control, Sunroof, Lane warning, GPS, Headup display, Auto dimming mirror, Distance control",Auto-schunn.ro,,660.0,,15.7,0.0,438.0,,
5262441,autouncle.ro,BMW,M440,BMW M440 i Coupé,2022,45600,Petrol,Automatic,387,284,EUR,51146,56127.0,3000.0,,,"4-wheel drive, Aircon, Parking sensor, Headup display, Sport package, Sport seats",Bmw,,,7.7,,175.0,52.0,,
5300500,autouncle.ro,BMW,X5,BMW X5 XDRIVE40I,2022,48135,Hybrid,Automatic,340,250,EUR,58980,64818.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,224.0,4.0,,
